
id,epoch,distributed_rewards_usd,distributed_tokens,remaining_pool_usd,fees_collected_usd,total_active_votes,reward_token,eth_block_number,tokens_per_vote,usd_per_vote,volume
39,2025-02-23,7280.9078141529736520254982945,7548773,7280.9078141529736520254982945,29295.9835783682658391336,14159,cbbtc,21905310,533.1430892012147751,0.5142247202594091144872871,
38,2025-02-16,7726.0861266866852749198232565,7961706,7726.0861266866852749198232565,39662.4122192975613532986,14089,cbbtc,21855250,565.1008588260344950,0.5483771826734818138206986,
37,2025-02-09,6197.609402203939569844712764,7394404,6197.609402203939569844712764,23491.9303846433424074626,14036,cbbtc,21805232,526.8170418922770020,0.441550969094039581778620,
36,2025-02-02,6913.7683813244325779481521955,7844505,6913.7683813244325779481521955,49500.0342488987942487308,14036,cbbtc,21755110,558.8846537475064121,0.4925739798606748773117806,
35,2025-01-26,2277.5287712391464978591177257,2194755,2277.5287712391464978591177257,10760.1848838604554476232,14029,cbbtc,21704966,156.4441514006700406,0.1623443418090488629167523,
34,2025-01-19,2044.3477362441867246061554518,2060032,2044.3477362441867246061554518,4228.2701412586781272777,14022,cbbtc,21654814,146.9142775638282699,0.1457957307263005794184963,
33,2025-01-12,3102.0991061946818861808475704,3221232,3102.0991061946818861808475704,13903.4403518060422034817,14022,cbbtc,21604680,229.7270004278990158,0.2212308590924748171573847,
32,2025-01-05,2960.0621303012872582159651414,3105334,2960.0621303012872582159651414,9181.7219855884861917069,14022,cbbtc,21554556,221.4615604050777350,0.2111012787263790656265843,
31,2024-12-29,3777.7224639652610717003202832,3929918,3777.7224639652610717003202832,10003.9529475519965781413,14022,cbbtc,21504401,280.2680074169162744,0.2694139540696948417986250,
30,2024-12-22,5221.189240168389608501003900,5155041,5221.189240168389608501003900,20754.754128744657199110577212,14003,cbbtc,21454314,368.1383275012497322,0.372862189542840077733415,
29,2024-12-15,5599.602516963025870542873118,5604467,5599.602516963025870542873118,24876.770211490204982029897238,13999,cbbtc,21404196,400.3476676905493250,0.400000179795915841884626,
28,2024-12-08,5394.6253179116705786121035475,5517964,5394.6253179116705786121035475,17358.069544347986070432471719,13920,cbbtc,21354047,396.4054597701149425,0.3875449222637694381186856,
27,2024-12-01,6739.0344088088110741232970275,7055240,6739.0344088088110741232970275,25016.939409404966349628260239,12955,cbbtc,21303933,544.5959089154766499,0.5201879126830421516112155,
26,2024-11-24,6903.248985,16901000000000000000000,7640.78295542313,None,12963,seed,21259402,1303787703463704389,0.53253482874334644758,
25,2024-11-18,7968.388674,21653000000000000000000,0,None,12962,seed,21209227,1670498379879648202,0.61474993627526616263,
24,2024-11-11,12288.4875,25941500000000000000000,0,None,12962,seed,21159071,2001350100293164635,0.94803946150285449776,
23,2024-11-04,3750.489528,21535000000000000000000,0,None,12783,seed,21108912,1684659313150277713,0.29339666181647500587,
22,2024-10-28,4469.922483,26493520000000000000000,0,None,12742,seed,21058766,2079227750745565845,0.35080226675561136399,
21,2024-10-21,1749.563595,11089000000000000000000,0,None,12738,seed,21008589,870544826503375726,0.13734994465379180405,
20,2024-08-25,2092.236207,21612000000000000000000,0,None,12726,seed,20602908,1698255539839698256,0.16440642833569071193,
19,2024-08-20,1885.244218,21612000000000000000000,0,None,12726,seed,20567753,1698255539839698256,0.14814114552883859815,
18,2024-08-12,1824.630023,21612000000000000000000,0,None,12726,seed,20513956,1698255539839698256,0.14337812533396196763,
17,2024-08-08,1702.762676,21612000000000000000000,0,None,12726,seed,20482508,1698255539839698256,0.13380187615904447588,
16,2024-07-21,2698.470718,21612000000000000000000,0,None,12635,seed,20353119,1710486743173723783,0.21357108967154728928,
15,2024-07-14,2858.069799,21612000000000000000000,0,None,12635,seed,20302912,1710486743173723783,0.22620259588444796201,
14,2024-07-07,2819.972671,21612000000000000000000,0,None,12635,seed,20252687,1710486743173723783,0.22318738986941036803,
13,2024-06-30,3157.159787,21612000000000000000000,0,None,12635,seed,20202723,1710486743173723783,0.24987414222398100514,
12,2024-06-23,3316.502997,21612000000000000000000,0,None,12631,seed,20155000,1711028422136014567,0.26256852165307576597,
11,2024-06-18,3434.359319,21612000000000000000000,0,None,12621,seed,20119989,1712384121701925362,0.27211467546153236669,
10,2024-06-02,19608.36549,114515000000000000000000,0,None,12619,seed,20001855,9074807829463507409,1.55387633647674142167,
9,2024-05-26,27192.2535,109846000000000000000000,0,None,12598,seed,19951444,8719320527067788538,2.1584579695189713,
8,2024-05-21,31407.68375,107501000000000000000000,0,None,12525,seed,19916059,8582914171656686627,2.5075995009980040,
7,2024-05-13,31363.91051,104444000000000000000000,0,None,12525,seed,19859587,8338842315369261477,2.5041046315369261,
6,2024-05-06,25026.87125,89166000000000000000000,0,None,11335,seed,19809224,7866431407146007940,2.2079286501985002,
5,2024-04-28,23069.93011,76117000000000000000000,0,None,9445,seed,19751017,8058973001588141874,2.4425548025410270,
4,2024-04-21,34990.18728,91399999999999900000000,0,None,9424,seed,19700152,9698641765704573430,3.7128806536502547,
3,2024-04-14,27739.09989,70195000000000000000000,0,None,9284,seed,19653202,7560857389056441189,2.9878392815596726,
2,2024-04-08,48477.2789,121521000000000000000000,0,None,9277,seed,19609173,13099169990298587906,5.2255339980597176,
